Frame,Raw_X,Calib_X,Error_X,Raw_Y,Calib_Y,Error_Y,Raw_Z,Calib_Z,Error_Z,Euclidean_Error
0,0.5741899013519287,0.5745404362678528,-0.00035053491592407227,0.26941484212875366,0.26914259791374207,0.0002722442150115967,-0.0137217678129673,-0.013221309520304203,-0.0005004582926630974,0.0006689171417929423
1,0.5744202733039856,0.5746195912361145,-0.00019931793212890625,0.26933109760284424,0.26895493268966675,0.00037616491317749023,-0.012803896330296993,-0.012680108658969402,-0.00012378767132759094,0.00044334080293458185
2,0.5742001533508301,0.5736121535301208,0.0005879998207092285,0.2690747380256653,0.2688070237636566,0.000267714262008667,-0.012388919480144978,-0.012477288953959942,8.83694738149643e-05,0.0006520919253749917
3,0.5744509100914001,0.5751305222511292,-0.0006796121597290039,0.26897871494293213,0.2688547968864441,0.0001239180564880371,-0.012852865271270275,-0.01351252757012844,0.0006596622988581657,0.0009551872700733263
4,0.5745295286178589,0.5742019414901733,0.0003275871276855469,0.26897579431533813,0.26854944229125977,0.00042635202407836914,-0.013422045856714249,-0.012704597786068916,-0.0007174480706453323,0.0008965607111254089
5,0.5747243762016296,0.5761955976486206,-0.0014712214469909668,0.2690425515174866,0.2690005898475647,4.1961669921875e-05,-0.01276442315429449,-0.013532294891774654,0.0007678717374801636,0.0016600844355181552
6,0.5747570991516113,0.5756116509437561,-0.0008545517921447754,0.2688921391963959,0.2690565884113312,-0.00016444921493530273,-0.013179502449929714,-0.013515611179172993,0.0003361087292432785,0.0009328833730023364
7,0.5746456980705261,0.5757685303688049,-0.0011228322982788086,0.2692108154296875,0.26932984590530396,-0.00011903047561645508,-0.01322614774107933,-0.01303156092762947,-0.00019458681344985962,0.001145768149388052
8,0.5749350786209106,0.5755234360694885,-0.0005883574485778809,0.2692645490169525,0.26932913064956665,-6.458163261413574e-05,-0.013351897709071636,-0.013490554876625538,0.00013865716755390167,0.0006079153598012241
9,0.5748263001441956,0.575752317905426,-0.0009260177612304688,0.2692547142505646,0.26918214559555054,7.256865501403809e-05,-0.013241441920399666,-0.013307567685842514,6.61257654428482e-05,0.0009312076678487127
10,0.574902355670929,0.5753109455108643,-0.00040858983993530273,0.2692829370498657,0.26933541893959045,-5.2481889724731445e-05,-0.01361707504838705,-0.013419250026345253,-0.00019782502204179764,0.0004569844038840635
11,0.5749548077583313,0.5756046772003174,-0.000649869441986084,0.26924991607666016,0.269481897354126,-0.0002319812774658203,-0.013409643433988094,-0.013597586192190647,0.0001879427582025528,0.0007151699693658573
12,0.5748340487480164,0.5754804015159607,-0.0006463527679443359,0.26932746171951294,0.26941266655921936,-8.52048397064209e-05,-0.013168368488550186,-0.013709376566112041,0.0005410080775618553,0.0008471844576748772
13,0.5756646990776062,0.5751435160636902,0.0005211830139160156,0.26952987909317017,0.2690562605857849,0.0004736185073852539,-0.013456929475069046,-0.01336568221449852,-9.124726057052612e-05,0.0007101213185745398
14,0.5757312774658203,0.5749059915542603,0.0008252859115600586,0.2695532739162445,0.2688854932785034,0.0006677806377410889,-0.013448797166347504,-0.01333143562078476,-0.00011736154556274414,0.0010680831186468066
15,0.5755499601364136,0.5748441815376282,0.0007057785987854004,0.2694111764431,0.26920944452285767,0.00020173192024230957,-0.013590897433459759,-0.01309234369546175,-0.0004985537379980087,0.000887341550824664
16,0.5753873586654663,0.5752119421958923,0.0001754164695739746,0.26939788460731506,0.26952064037323,-0.000122755765914917,-0.013367398642003536,-0.013052302412688732,-0.0003150962293148041,0.00038095347431354743
17,0.5742398500442505,0.5751073360443115,-0.0008674860000610352,0.2695099711418152,0.26941126585006714,9.870529174804688e-05,-0.013447631150484085,-0.013214428909122944,-0.0002332022413611412,0.0009036913080786056
18,0.5739993453025818,0.5744267106056213,-0.0004273653030395508,0.2696855068206787,0.2692629396915436,0.00042256712913513184,-0.0132156265899539,-0.013352754525840282,0.00013712793588638306,0.0006164480121373207
19,0.5741937160491943,0.5743935108184814,-0.00019979476928710938,0.26954665780067444,0.26950663328170776,4.0024518966674805e-05,-0.013440320268273354,-0.013532644137740135,9.232386946678162e-05,0.00022370428879733687
20,0.5740538239479065,0.5748056769371033,-0.0007518529891967773,0.2694518566131592,0.26933079957962036,0.00012105703353881836,-0.013527268543839455,-0.013393078930675983,-0.00013418961316347122,0.000773268759885145
21,0.5742685794830322,0.5749102234840393,-0.0006416440010070801,0.2693710923194885,0.2693275213241577,4.357099533081055e-05,-0.013829457573592663,-0.013281663879752159,-0.0005477936938405037,0.000844797837754048
22,0.5747261643409729,0.5750052332878113,-0.0002790689468383789,0.2693440020084381,0.2693837881088257,-3.978610038757324e-05,-0.013603433035314083,-0.013350331224501133,-0.00025310181081295013,0.00037884421271853477
23,0.5746105313301086,0.5750262141227722,-0.0004156827926635742,0.269392192363739,0.26933753490448,5.46574592590332e-05,-0.0134994275867939,-0.013164898380637169,-0.00033452920615673065,0.0005363668630155048
24,0.5739248991012573,0.5743606090545654,-0.00043570995330810547,0.26946935057640076,0.2694990038871765,-2.9653310775756836e-05,-0.013507566414773464,-0.013673193752765656,0.00016562733799219131,0.0004670705485706572
25,0.5737356543540955,0.5750423073768616,-0.0013066530227661133,0.2694418430328369,0.26940980553627014,3.203749656677246e-05,-0.013456132262945175,-0.013593317940831184,0.00013718567788600922,0.001314225411908905
26,0.5735594630241394,0.5741364359855652,-0.0005769729614257812,0.2696482241153717,0.2693063020706177,0.0003419220447540283,-0.013415712863206863,-0.013587024062871933,0.00017131119966506958,0.0006922109577548575
27,0.57476407289505,0.5738635659217834,0.0009005069732666016,0.26946166157722473,0.2691587805747986,0.00030288100242614746,-0.013209141790866852,-0.013019820675253868,-0.0001893211156129837,0.0009687580685338258
28,0.5749372243881226,0.573627769947052,0.0013094544410705566,0.2692904770374298,0.26900380849838257,0.0002866685390472412,-0.013216185383498669,-0.01311679370701313,-9.939167648553848e-05,0.0013441460076470447
29,0.573797881603241,0.5744519829750061,-0.0006541013717651367,0.2692998945713043,0.26877298951148987,0.0005269050598144531,-0.012589387595653534,-0.013520745560526848,0.0009313579648733139,0.0012541551759395913
30,0.5743544101715088,0.574413537979126,-5.91278076171875e-05,0.2691158056259155,0.26917317509651184,-5.7369470596313477e-05,-0.01323593407869339,-0.013266384601593018,3.0450522899627686e-05,8.783272815401536e-05
31,0.5735822916030884,0.5742506980895996,-0.0006684064865112305,0.26898205280303955,0.26939108967781067,-0.00040903687477111816,-0.013208557851612568,-0.013533208519220352,0.00032465066760778427,0.0008482195777692184
32,0.5740798115730286,0.5747931599617004,-0.000713348388671875,0.2690710723400116,0.2692309319972992,-0.00015985965728759766,-0.013388069346547127,-0.013616123236715794,0.00022805389016866684,0.0007657869223680507
33,0.574378490447998,0.5732152462005615,0.0011632442474365234,0.2690533995628357,0.26869943737983704,0.0003539621829986572,-0.013204902410507202,-0.012681255117058754,-0.0005236472934484482,0.0013238704219534568
34,0.5738970637321472,0.5746541619300842,-0.0007570981979370117,0.26916688680648804,0.2691555917263031,1.1295080184936523e-05,-0.012732175178825855,-0.013203439302742481,0.000471264123916626,0.0008918604905739237
35,0.5739650130271912,0.572868287563324,0.0010967254638671875,0.2689221501350403,0.26850825548171997,0.0004138946533203125,-0.012858071364462376,-0.012804307043552399,-5.376432090997696e-05,0.0011734590445962526
36,0.5732866525650024,0.5728974342346191,0.0003892183303833008,0.2688913941383362,0.2686097025871277,0.0002816915512084961,-0.012757375836372375,-0.012940846383571625,0.00018347054719924927,0.0005142980462904803
