Axis,Mean_Error,Std_Error
X,-0.00011627852916717529,0.0006262836070257549
Y,0.0001580658555030823,0.00026213325241992546
Z,4.038888961076736e-05,0.0003763677542070562
Euclidean,0.0007292149159363947,0.0003331367056650646
