frame,x,y,z
2,740.6377086639404,719.6620934009552,1.4659239866432472e-07
3,733.8480521440506,721.088105648756,1.497901394031942e-07
4,721.7486689090729,722.6827577352524,1.0051391541310295e-07
5,710.9384851455688,720.9953830242157,-3.5954005994653926e-08
6,704.9870303869247,722.8664607107639,8.80259065638711e-08
7,693.4883210062981,724.0505782961845,1.4571389783668565e-07
8,683.5699324607849,721.7116589546204,6.430770582710466e-08
9,668.9366484880447,720.7897625267506,1.8466920437276713e-08
10,659.4074105024338,719.513837993145,1.4221303956674092e-07
11,651.286750793457,719.332056760788,2.0333494887836423e-07
12,643.3720779120922,719.5390121936798,1.633735564610106e-07
13,639.1802639961243,716.7854525446892,1.9851897548051056e-07
14,631.848221719265,712.2685914337635,1.5722244484095427e-07
15,628.0740063786507,709.2541463971138,1.749313440768674e-07
16,626.0015776157379,709.6428293287754,1.8397810208625742e-07
17,625.5181382894516,710.4019347131252,1.2655053183152631e-07
18,625.1812674999237,709.4596693217754,1.9118010641250294e-07
19,627.2929510176182,708.7072265446186,1.7136483165813843e-07
20,630.718716442585,711.8805825710297,1.7715835554099613e-07
21,635.6298725605011,714.4882715940475,2.476325278166769e-07
22,642.8978877067566,714.816868185997,2.6636723760020686e-07
23,648.924544364214,712.3344651460648,2.5465715225436725e-07
24,656.6674039363861,711.2900495529175,1.944718803770229e-07
25,661.5681328773499,708.7593941688538,2.0267825107112003e-07
26,665.7843784093857,705.831425011158,1.8712842120294226e-07
27,667.2816841006279,700.8300030231476,2.3120043124436052e-07
28,666.5165274143219,687.3063198328018,1.810454222095359e-07
29,669.0566461086273,675.8312564492226,1.5026657251837605e-07
30,667.434787273407,665.8018387556076,1.8021685832536605e-07
31,662.9177867174149,649.6797363162041,1.4068403686451347e-07
32,661.7543334960938,635.8694668114185,3.763630473940793e-08
33,668.2981815338135,629.7444072067738,1.4670750658751786e-07
34,677.6914014816284,629.8235005736351,1.0393584659595945e-07
35,694.6655139923096,630.5733154416084,1.5387739438210701e-07
36,720.5894558429718,628.5371525883675,4.0186736782743537e-07
37,721.298765540123,625.9813252687454,7.114184086276509e-08
38,749.1355863213539,641.7599267959595,-1.7034099641932698e-07
39,722.5940319299698,625.0443711280823,-2.697074137358868e-07
40,724.4058862924576,619.6481819152832,-1.374488078909053e-08
41,706.7977786064148,627.2879042625427,7.622874420576409e-08
42,684.6701748967171,633.972805082798,2.286896290115692e-07
44,639.4834154844284,637.6331987977028,3.4155910100253095e-08
46,588.8658201694489,616.3129855692387,1.0459666555107106e-07
47,589.3506211340427,611.0107296705246,1.6008709735615412e-07
48,578.855050265789,599.6973521411419,3.4847384977609863e-09
49,584.7081480026245,591.898206487298,-1.0858931887014478e-07
50,585.2339426875114,590.8787965029478,-1.2869689669514628e-07
51,546.1611182391644,612.1046962738037,-7.19172703611548e-08
53,615.3709388375282,594.509974732995,9.697953373688506e-08
54,653.7002680301666,602.747883617878,5.372895017785595e-08
55,694.8915252685547,602.8988281488419,1.49787055647721e-07
56,719.2390035390854,604.7654106318951,9.382381449540844e-08
57,721.0798003673553,604.4463828802109,3.2557583296011217e-08
58,721.802397608757,603.9864790141582,-4.973885125991728e-08
59,724.0271019935608,605.4485542476177,-4.7194212982049066e-08
60,719.5754749178886,609.7845603823662,-4.0720337324273714e-08
