frame,x,y,z
2,214.53241169452667,457.4636447131634,-1.4725542068481445
3,222.80002132058144,455.0729854479432,-1.5512428283691406
4,229.31684798002243,453.6718987002969,-1.5464503765106201
5,232.37623190879822,449.20748806744814,-1.537953495979309
6,240.3787944316864,452.56576150655746,-1.5079106092453003
7,242.94488847255707,453.7032678127289,-1.4652169942855835
8,243.13348004221916,450.2685126364231,-1.461647868156433
9,244.09800377488136,449.72811372578144,-1.3355692625045776
10,246.00553512573242,448.16582679748535,-1.317048192024231
11,247.19975274801254,451.93285846710205,-0.5633976459503174
12,253.2234200835228,454.00263118743896,-0.5391443967819214
13,256.0531662106514,461.0286240950227,-0.4421737492084503
14,257.11573472619057,456.5873121023178,-0.5285066366195679
15,257.5807955265045,457.02995762228966,-0.5268208980560303
16,258.6795084476471,458.4982415884733,-0.7969605922698975
17,257.73451042175293,458.3257614672184,-0.8536827564239502
18,257.93928974866867,457.60213416814804,-0.6463994383811951
19,262.25645488500595,455.95784241706133,-0.6979355812072754
20,258.95988392829895,451.53582471609116,-0.6594558358192444
21,258.2120780944824,452.33744752407074,-0.844132661819458
22,261.2892909049988,450.22908921539783,-0.7605814337730408
23,258.8729975223541,451.1987704783678,-0.7798983454704285
24,259.5982791185379,452.09105856716633,-0.7718801498413086
25,261.00865364074707,450.39218623936176,-0.8353634476661682
26,262.20686542987823,452.4582848697901,-0.6050269603729248
27,259.5034942626953,451.9934387207031,-0.8046639561653137
28,262.7936379313469,456.36289761960506,-0.7305105328559875
29,261.82316386699677,461.39625456929207,-0.6912838816642761
30,263.5535216331482,461.2342402637005,-0.7223283648490906
31,265.3734573125839,464.0639673471451,-0.7610938549041748
32,263.09456676244736,467.8663991987705,-0.7822375297546387
33,267.19540536403656,468.37465681135654,-0.8144777417182922
34,267.15103447437286,471.91114626824856,-0.7072047591209412
35,268.1579623222351,471.96020905673504,-0.628115713596344
36,269.5755923986435,475.2612577676773,-0.723545253276825
37,270.6360650062561,475.1788046658039,-0.4951609671115875
38,274.53350615501404,477.71110966801643,-0.451387882232666
39,275.8017016649246,481.46653750538826,-0.4981823265552521
40,280.21976804733276,487.0407413691282,-0.3414986729621887
41,274.1073176264763,487.817012488842,-0.7141754031181335
42,279.8441216349602,487.154631704092,-0.3588944971561432
43,283.74276703596115,490.34571401029825,-0.38486650586128235
44,287.9365738928318,488.86659863591194,-0.3028237819671631
45,292.5714309811592,485.11543425917625,-0.4373880922794342
46,295.11876797676086,488.57306753098965,-0.35311180353164673
47,296.59915685653687,483.8266561627388,-0.248540461063385
48,296.8657938539982,481.9262055307627,-0.4067513644695282
49,298.74724224209785,483.2357301339507,-0.5673256516456604
50,305.4104034900665,484.69267351180315,-0.6862640380859375
51,307.2859987616539,484.63761930167675,-0.5034955739974976
52,320.1182533502579,484.4283295124769,-0.24936948716640472
53,305.4662781357765,483.33293056488037,-0.5104160308837891
54,304.6902050971985,477.05979359149933,-0.43845486640930176
55,306.4306915998459,474.0978301167488,-0.4580959677696228
56,320.5136818885803,480.5913331359625,-0.6478293538093567
57,323.1282089948654,490.1158804446459,-0.39213255047798157
