frame,x,y,z
2,529.4620084762573,429.67026352882385,-0.03294245898723602
3,527.0309953391552,429.58228577673435,-0.03303509205579758
4,527.5653192996979,429.47715905308723,-0.03298444673418999
5,525.5583779811859,428.88953602313995,-0.032004039734601974
6,522.548345297575,428.16534075140953,-0.03170078992843628
7,520.8965223133564,427.7640642076731,-0.03142861649394035
8,521.5792422294617,427.4170297384262,-0.03127425163984299
9,522.044475197792,427.35247933119535,-0.03097262792289257
10,522.4127620756626,427.3980460613966,-0.031457528471946716
11,521.4301071166992,427.0422414243221,-0.031556386500597
12,521.7050451934338,426.32281721383333,-0.031183484941720963
13,521.7731647491455,425.8884022384882,-0.03184531256556511
14,521.0850386023521,426.1374017596245,-0.031299978494644165
15,521.4121749401093,425.8282167389989,-0.03197802975773811
16,521.0517861843109,425.7054828777909,-0.031536005437374115
17,521.6079676151276,425.90844563394785,-0.03157656639814377
18,521.3327691555023,425.7335059270263,-0.03211751580238342
19,520.1098698973656,426.0957543477416,-0.032940518110990524
20,519.6171100139618,426.914688706398,-0.03275754302740097
21,518.7453870773315,426.68399688601494,-0.0331466868519783
22,518.4003708064556,425.9785803705454,-0.0328330360352993
23,517.2511675059795,425.23359709978104,-0.03272593766450882
24,516.279528439045,424.9617872238159,-0.032594818621873856
25,515.7493717372417,424.5060923397541,-0.03263869881629944
26,514.9961862564087,423.4546400681138,-0.03119216114282608
27,514.1515077054501,422.01662039756775,-0.03109404258430004
28,514.5768498778343,420.1710025072098,-0.031155994161963463
29,515.9597519338131,418.37750689685345,-0.030380893498659134
30,516.2270795702934,416.256039686501,-0.03234398737549782
31,519.0148423314095,414.9342006742954,-0.030752032995224
32,520.6892623901367,413.4446704015136,-0.03270596265792847
33,524.9655864834785,413.03958716243505,-0.031404390931129456
34,531.4288442134857,415.33716237545013,-0.030248137190937996
35,534.5695607066154,415.3970964998007,-0.031890541315078735
36,538.4922879040241,416.7823644578457,-0.03207216411828995
37,540.171187132597,415.9895210713148,-0.03407672420144081
38,545.1147550940514,415.99088859558105,-0.03262926638126373
39,548.0724615454674,415.0725355744362,-0.03378330171108246
40,552.8129587769508,414.47629076242447,-0.032875075936317444
41,557.1210741996765,416.57510551810265,-0.03383328393101692
42,556.6081178188324,420.1291021555662,-0.0340743325650692
43,553.8954133987427,423.21565602719784,-0.032804664224386215
44,552.8533289432526,425.31924698501825,-0.03307012468576431
45,549.5583407878876,428.06603249907494,-0.03301425278186798
46,543.9666032791138,430.49103412777185,-0.03325001895427704
47,538.2848873138428,431.57524816691875,-0.033284228295087814
48,531.3461756110191,431.7034892141819,-0.032885998487472534
49,521.406088590622,431.42087368667126,-0.031040631234645844
50,509.31560975313187,431.93903049081564,-0.0298621766269207
51,497.9466243982315,431.2579367160797,-0.02939406968653202
52,485.77406311035156,430.5565691590309,-0.027815869078040123
53,475.0218159556389,428.8009570017457,-0.02779262699186802
54,472.6326975822449,428.59111908078194,-0.029430586844682693
55,467.7905178666115,427.71620616316795,-0.029995407909154892
56,465.9663136303425,429.01580329984426,-0.030499503016471863
57,467.16676700115204,431.2961733043194,-0.028350399807095528
58,468.5493721961975,431.87836699187756,-0.029558643698692322
59,468.9241874217987,433.5328825712204,-0.029888518154621124
60,470.6417373716831,435.1275603175163,-0.02927945740520954
