frame,x,y,z
2,122.08168062567711,857.1151406764984,-3.142051525628631e-07
3,116.44314496219158,861.4086519777775,-3.0432173048211553e-07
4,112.98966710269451,857.5065993666649,-2.3807318427770952e-07
7,117.7249353826046,855.913743853569,-2.9184505478951905e-07
13,118.68772496283054,864.8879569172859,-1.4314036889118142e-07
14,116.67650930956006,860.2795252203941,-4.959343158361662e-09
15,111.44251926243305,863.9997872114182,-1.4092444189373055e-07
17,103.62090969085693,849.5716922283173,-1.128048268128623e-07
18,95.04756595939398,846.2765313088894,-2.035045980619543e-07
19,86.40749791637063,838.9311747550964,-1.821765849285839e-08
20,76.39057553559542,821.958328962326,-1.0225207347502874e-07
21,67.69789445400238,819.012432217598,-1.3883122562674544e-07
22,54.16281520575285,801.8142635822296,-1.973494789808683e-08
39,46.5415318980813,832.9934641718864,-2.487852590604689e-08
40,86.77997037768364,846.9521813690662,-7.586643846480001e-08
41,131.49589635431767,863.4173918962479,-5.402222669204093e-09
42,181.31608977913857,871.0865035057068,1.8146640456961904e-07
44,307.12620002031326,808.9707373380661,-7.547640734628658e-08
45,314.7883183956146,819.48200070858,1.4521405944378785e-07
46,371.7308986186981,655.0103539824486,4.1011415419234254e-07
48,366.8189557790756,636.8819372951984,1.858803102550155e-07
54,181.57094275951385,849.812924861908,1.4133154024875694e-07
55,100.54892621934414,834.7607598304749,2.1583689147064433e-07
57,22.947218537330627,772.0071691274643,7.115626488030102e-08
