frame,x,y,z
2,217.97447049617767,458.744029968977,-0.042349547147750854
3,224.79691576957703,456.00583608448505,-0.04432259872555733
4,230.1118745803833,454.3583359271288,-0.04448482766747475
5,236.145139336586,452.67644176632166,-0.04320770502090454
6,242.03312981128693,450.4311143755913,-0.04248068481683731
7,247.08781278133392,451.4347654283047,-0.04252534732222557
8,251.23766660690308,454.0312997996807,-0.03997395932674408
9,253.59811478853226,455.650044798851,-0.03791523352265358
10,256.3611717224121,458.42021054029465,-0.03535659611225128
11,257.96528017520905,461.60507583618164,-0.033935531973838806
12,258.5220526456833,464.09726428985596,-0.030324066057801247
13,260.4383447468281,467.851339623332,-0.028747279196977615
14,260.89957720041275,466.5102778673172,-0.028839202597737312
15,261.9338723421097,467.44393596053123,-0.02847953699529171
16,261.6064960360527,467.3915706574917,-0.028625162318348885
17,261.07006454467773,465.27163153886795,-0.02933868207037449
18,260.8545585870743,464.2405336871743,-0.02809983119368553
19,261.24949514865875,462.9908951148391,-0.02964884229004383
20,261.1573849916458,461.9837019890547,-0.030394461005926132
21,261.2906379699707,460.44356909394264,-0.03140637278556824
22,260.78915655612946,459.68238515406847,-0.032831642776727676
23,261.409308552742,459.38845191150904,-0.03222963586449623
24,261.44404447078705,459.59657625854015,-0.031945642083883286
25,262.702787399292,460.0408124476671,-0.03148400038480759
26,262.63231086730957,459.88442170619965,-0.03249095752835274
27,265.12919557094574,460.5256270170212,-0.030969373881816864
28,265.2361561655998,462.1067068874836,-0.03072945959866047
29,266.4900439977646,465.20168347656727,-0.029321419075131416
30,266.63143849372864,467.1944761797786,-0.0288033876568079
31,267.8488873243332,468.7564072608948,-0.028628457337617874
32,268.21000427007675,471.23918356001377,-0.02735128253698349
33,269.1459356546402,473.13380897045135,-0.026267768815159798
34,270.3941352367401,473.97949755191803,-0.02611709013581276
35,272.10747599601746,475.31967946887016,-0.02565940096974373
36,273.108021736145,477.39061880111694,-0.02553069218993187
37,274.5802791118622,479.98507913947105,-0.02486397698521614
38,276.8152032494545,482.47799053788185,-0.02410455234348774
39,278.0111963748932,485.9634941369295,-0.024295970797538757
40,279.2675391435623,489.14166421443224,-0.023765768855810165
41,281.9467693567276,493.30336597561836,-0.02289092354476452
42,284.8815479874611,495.7263163626194,-0.023156598210334778
43,288.7449809908867,497.08395247906446,-0.021949654445052147
44,293.9072563648224,497.19836224615574,-0.02076229825615883
45,299.4822174012661,495.627644777298,-0.02124561183154583
46,304.2814396619797,494.11801297962666,-0.020735295489430428
47,308.1303449869156,493.2703511118889,-0.019498905166983604
48,311.96851298213005,494.2438698261976,-0.019030580297112465
49,315.64406445622444,494.2856291308999,-0.018378734588623047
50,318.76432406902313,494.221034899354,-0.017826305702328682
51,320.2423121333122,492.48804499208927,-0.016379229724407196
52,317.6572353839874,492.90890800207853,-0.01701696775853634
53,319.6136083602905,490.4513187408447,-0.016664911061525345
54,317.76295667886734,490.1073932647705,-0.015531815588474274
55,318.0476145744324,493.8462619781494,-0.014185665175318718
56,316.6104803085327,492.1206700503826,-0.014501526951789856
57,315.29006576538086,493.83051486313343,-0.0147852236405015
