frame,x,y,z
2,535.3468523025513,420.42897067964077,-0.8012163043022156
3,529.2904918193817,416.4515280947089,-0.7078829407691956
4,524.6004653573036,418.2510267794132,-0.9324812889099121
5,533.784761428833,420.75010615587234,-0.8837953805923462
6,526.737123221159,420.21392776817083,-0.7210561037063599
7,530.0574362277985,420.75214360654354,-0.5177323818206787
8,526.0643427371979,423.8221642896533,-0.564501166343689
9,525.2787734270096,422.21096612513065,-0.5338380336761475
10,526.9312327504158,419.7897819429636,-0.6542249321937561
11,525.9665114283562,419.74309630692005,-0.7694111466407776
12,523.1700123846531,420.2800112590194,-0.6896369457244873
13,524.279402256012,420.4440789818764,-0.9734950661659241
14,526.5999871194363,418.55893088132143,-0.7020063400268555
15,526.1391123533249,420.9405928775668,-0.7623255252838135
16,523.4628179073334,423.04247579723597,-0.49563467502593994
17,518.5788888335228,421.2790055125952,-0.3786563277244568
18,517.5445165634155,421.5428570955992,-0.5243578553199768
19,522.0354129374027,416.8424417003989,-0.7649997472763062
20,520.7178651690483,419.8414877653122,-0.6649158596992493
21,521.2832090854645,420.48562175035477,-1.1879816055297852
22,520.6672732830048,418.41379138827324,-0.9082645177841187
23,510.07070487737656,411.46790194511414,-1.1284799575805664
24,511.72085851430893,409.471904784441,-1.0559138059616089
25,512.0205285549164,413.2084994018078,-0.5142577886581421
26,513.1906713247299,411.5256043225527,-0.6384756565093994
27,515.7141653001308,409.9071387052536,-0.7616130709648132
28,514.055891752243,408.472171112895,-0.9975507259368896
29,513.1418872177601,407.34319987893105,-0.6749500632286072
30,524.5245178937912,412.2645691484213,-0.7190245985984802
31,524.5316650271416,410.0197380334139,-0.9497250914573669
32,526.9527053833008,406.4178091585636,-0.9321622252464294
33,536.1398630738258,404.5180702060461,-0.7078922986984253
34,534.3963893651962,408.4917359277606,-0.8470903635025024
35,539.7321753203869,410.0350811034441,-0.8461158871650696
36,543.6856102049351,413.2403929233551,-0.8337299823760986
37,548.0213605165482,411.6250800341368,-0.8796266913414001
38,550.7478467822075,413.95068180561066,-0.980354905128479
39,558.5324555039406,413.8618577718735,-1.3408830165863037
40,555.388793617487,414.7539525181055,-1.082274317741394
41,560.6230199337006,410.52436116337776,-0.8901629447937012
42,561.1706592440605,421.85448679327965,-0.7494497895240784
43,554.763042807579,423.97049483656883,-0.7259487509727478
44,552.880130648613,427.291575782001,-0.5086108446121216
45,548.9721744060516,428.1443532705307,-1.0222328901290894
46,540.7173466682434,432.08539072424173,-1.2366341352462769
47,535.1503291428089,432.03714802861214,-1.3335756063461304
48,528.2627382874489,433.6475476026535,-1.440054178237915
49,522.1231737136841,436.01863051205873,-0.9509981274604797
50,508.3522017598152,429.6195539087057,-0.8798832297325134
51,492.15526673197746,432.73826372623444,-0.5864190459251404
52,483.2785701751709,429.95665480196476,-0.4685503840446472
53,475.7034651041031,428.7793623358011,-0.5315982103347778
54,474.8946580886841,424.6262167170644,-0.5084198117256165
55,478.65586388111115,423.26762269437313,-0.46657273173332214
56,474.07901099324226,424.8398497775197,-0.5601747035980225
57,479.89545011520386,431.6815996468067,-0.5526654720306396
58,478.4545774459839,432.8540035262704,-0.8061041831970215
59,482.03680992126465,433.1585074365139,-0.5989865660667419
60,480.22646376490593,437.9453089237213,-0.5978553295135498
