frame,x,y,z
72,350.1607566475868,83.32945668697357,3.1976532000044244e-07
73,349.4232093691826,79.82182160019875,4.777714366355212e-07
74,352.84811466932297,84.36756207048893,5.714294388781127e-07
75,332.1739716529846,83.61092591285706,1.2491771883560432e-07
76,331.0022871494293,89.43820041418076,4.991096034245857e-07
77,326.19826394319534,87.95164296030998,1.1907311403547283e-07
79,342.48733282089233,78.60968202352524,-6.410154895775122e-08
83,325.0667816102505,22.83402742445469,-9.311935400546645e-08
105,325.2540910243988,36.61537551879883,1.48765991525579e-07
106,328.47850346565247,43.16640283167362,5.431771228359139e-07
107,334.22122621536255,41.42748413980007,2.64701185415106e-07
108,335.09441471099854,57.035908192396164,3.7457451185218815e-07
123,405.3573896586895,59.53717756271362,-1.0989490561996718e-07
124,410.43910267949104,35.03657105565071,-2.2308944380711182e-07
140,180.8699400573969,88.74146828055382,-1.0290063023887797e-08
141,174.61285831779242,89.77791103720665,5.780303879987514e-08
142,170.06585562229156,89.62152047455311,-1.4451808283411083e-07
143,163.11856722831726,86.0679094940424,1.612205267065292e-07
144,161.084967315197,78.52308076620102,1.9501690928791504e-07
145,302.92060470581055,70.6161442771554,-6.949829156610576e-08
146,312.2624507546425,88.17092674970627,2.9932419920442044e-07
148,173.26377540826797,61.23281887173653,1.3556110900481144e-07
149,167.43985037505627,30.96568837761879,-4.2704837710516586e-07
153,326.304640352726,102.9184065759182,-1.0320625420945362e-07
154,320.4588226675987,97.1785774230957,1.2756439105032769e-07
160,318.8105721473694,105.32431948184967,1.375586577978538e-07
163,67.6634586751461,207.6774959564209,4.218081244289351e-07
170,414.83679616451263,58.8559493124485,5.162376623957243e-07
172,423.063392162323,61.415155336260796,1.149366894992454e-07
174,440.5207659006119,26.96008338034153,1.3391497910575367e-09
175,442.72178784012794,28.378640592098236,2.8912180027873546e-07
177,339.96157932281494,81.41953763365746,3.8748413544453797e-07
178,339.01407384872437,76.93067613244057,3.7446307032951154e-07
179,341.79002928733826,73.62922295928001,2.5517934432173206e-07
180,338.2474944591522,71.64156049489975,2.0503931352777727e-07
181,338.0368031859398,69.84122478961945,3.034888251818302e-08
182,334.4926286935806,62.696685433387756,3.4109467605958343e-07
184,327.7574841082096,56.30795922130346,6.678001707172143e-09
190,312.74462032318115,92.673435151577,1.1607588845663486e-07
194,304.80761981010437,116.86577785015106,-3.145099185530853e-07
195,294.93347588181496,94.3896689414978,2.0484691276578815e-07
196,295.9323846101761,73.77415728569031,3.46017884567118e-07
197,299.80936217308044,61.43599592149258,9.192824279580236e-08
198,301.4435306787491,65.96760681271553,1.7188600054396375e-07
199,312.31646674871445,70.34448799490929,2.0320109683780174e-07
200,283.8751987218857,56.4722295999527,2.1110476211561036e-07
201,279.91766715049744,55.636014610528946,1.1907701491509215e-07
202,276.8186968564987,52.61533498764038,1.3521228581225841e-08
203,280.87335830926895,50.02625274658203,1.218299559013758e-07
204,288.9500135779381,49.90988001227379,1.629749704079586e-07
205,294.5637296438217,51.34425412118435,1.5057415225783188e-07
206,300.02806091308594,52.93709954619408,-7.4170576347398764e-09
207,304.5729219317436,55.319419622421265,7.464594631301225e-08
208,309.91180485486984,60.67425894737244,9.19344032013214e-08
209,312.0636923313141,69.38550615310669,1.8983384109105828e-07
210,316.7667902112007,77.56387157738209,1.546139003494318e-07
211,319.9660224914551,85.67105484008789,8.810305729411994e-08
212,320.54985225200653,90.97937393188477,-8.109864779726195e-08
213,320.6449956893921,95.43025040626526,-5.665805957733028e-08
214,322.66106873750687,100.03546610474586,1.7046941991338826e-07
215,322.82651656866074,105.01985105872154,1.9028507836083008e-07
216,323.39528971910477,105.71117678284645,2.0145454016073927e-07
217,326.3903913497925,96.16129398345947,1.9545247198493598e-07
218,331.796080827713,78.53764942288399,-9.64937498793006e-08
219,335.7540702819824,57.92500929534435,-2.538598380397161e-07
233,297.70176017284393,47.47086372971535,1.0008255202365035e-07
234,268.581095457077,-2.263546315021813,-2.9639940635206585e-07
245,221.59792387485504,43.105016231536865,4.175557819507958e-07
