Axis,Mean_Error,Std_Error
X,3.0639171600341795e-05,8.998006444413916e-05
Y,8.254647254943848e-06,3.579425693238771e-05
Z,0.0048870712518692015,0.012651437695014187
Euclidean,0.009524373679712572,0.00965603602518834
