Frame,Raw_X,Calib_X,Error_X,Raw_Y,Calib_Y,Error_Y,Raw_Z,Calib_Z,Error_Z,Euclidean_Error
12,0.5787836909294128,0.5787889361381531,-5.245208740234375e-06,0.269346684217453,0.2693316340446472,1.5050172805786133e-05,-0.4343840777873993,-0.45702528953552246,0.02264121174812317,0.022641217357802713
13,0.5788688063621521,0.5789045095443726,-3.5703182220458984e-05,0.26933911442756653,0.2693377137184143,1.4007091522216797e-06,-0.44230201840400696,-0.45431777834892273,0.012015759944915771,0.012015813069994434
14,0.5789991021156311,0.5790086984634399,-9.59634780883789e-06,0.2693372666835785,0.26931825280189514,1.901388168334961e-05,-0.4453935921192169,-0.45033538341522217,0.004941791296005249,0.004941837191861057
15,0.5790964961051941,0.5791037678718567,-7.271766662597656e-06,0.26931798458099365,0.2693139910697937,3.993511199951172e-06,-0.4459473192691803,-0.461760550737381,0.015813231468200684,0.0158132336444389
16,0.5791987776756287,0.579207718372345,-8.940696716308594e-06,0.26931387186050415,0.2692990303039551,1.4841556549072266e-05,-0.4540802538394928,-0.4645490050315857,0.010468751192092896,0.010468765530367225
17,0.5793557167053223,0.5793859362602234,-3.0219554901123047e-05,0.26930171251296997,0.2692956030368805,6.109476089477539e-06,-0.4478762447834015,-0.45361608266830444,0.005739837884902954,0.0057399206869227495
18,0.5795307755470276,0.5795507431030273,-1.996755599975586e-05,0.2692958116531372,0.26929035782814026,5.453824996948242e-06,-0.44353166222572327,-0.44442152976989746,0.0008898675441741943,0.000890108248290236
19,0.5796459913253784,0.5796563625335693,-1.0371208190917969e-05,0.2692895829677582,0.26928070187568665,8.881092071533203e-06,-0.4445703327655792,-0.4470503330230713,0.0024800002574920654,0.0024800378450572954
20,0.5797598361968994,0.5797679424285889,-8.106231689453125e-06,0.2692689597606659,0.26924845576286316,2.0503997802734375e-05,-0.44718992710113525,-0.44449111819267273,-0.0026988089084625244,0.00269889896982358
21,0.5798523426055908,0.5798638463020325,-1.150369644165039e-05,0.26923486590385437,0.26921847462654114,1.6391277313232422e-05,-0.4460711181163788,-0.4476815462112427,0.0016104280948638916,0.0016105525939039446
22,0.5799470543861389,0.5799586176872253,-1.1563301086425781e-05,0.26921823620796204,0.2692171037197113,1.1324882507324219e-06,-0.4584271013736725,-0.45653489232063293,-0.0018922090530395508,0.0018922447233025877
23,0.5799664855003357,0.5799427628517151,2.372264862060547e-05,0.26921626925468445,0.26921483874320984,1.430511474609375e-06,-0.4632934033870697,-0.4519222676753998,-0.011371135711669922,0.011371160546911457
24,0.5799877643585205,0.579967737197876,2.002716064453125e-05,0.26921403408050537,0.26921090483665466,3.129243850708008e-06,-0.45306265354156494,-0.443515419960022,-0.009547233581542969,0.0095472550997589
25,0.5800002813339233,0.5799412727355957,5.900859832763672e-05,0.26920992136001587,0.26920902729034424,8.940696716308594e-07,-0.4601045250892639,-0.4443916976451874,-0.015712827444076538,0.015712938270780612
26,0.5799708366394043,0.5799031257629395,6.771087646484375e-05,0.2692079544067383,0.2692071497440338,8.046627044677734e-07,-0.4518003761768341,-0.44730740785598755,-0.004492968320846558,0.00449347857927513
27,0.5799433588981628,0.5798566341400146,8.672475814819336e-05,0.26920226216316223,0.2692010700702667,1.1920928955078125e-06,-0.45119360089302063,-0.44360464811325073,-0.0075889527797698975,0.007589448392231058
28,0.5799221396446228,0.5797431468963623,0.00017899274826049805,0.26920679211616516,0.269205778837204,1.0132789611816406e-06,-0.4489216208457947,-0.4480924606323242,-0.000829160213470459,0.000848260626379933
29,0.5798006653785706,0.5796379446983337,0.0001627206802368164,0.2691992521286011,0.2691892087459564,1.004338264465332e-05,-0.4558739960193634,-0.4530458450317383,-0.002828150987625122,0.0028328460773781256
30,0.5797152519226074,0.5795956254005432,0.00011962652206420898,0.2691629230976105,0.26915013790130615,1.2785196304321289e-05,-0.4552595019340515,-0.4467717409133911,-0.0084877610206604,0.008488613615300664
31,0.5795972347259521,0.5793375372886658,0.00025969743728637695,0.2691486179828644,0.2691434919834137,5.125999450683594e-06,-0.46340423822402954,-0.4505077302455902,-0.012896507978439331,0.012899123500174452
32,0.5793222784996033,0.5791687369346619,0.00015354156494140625,0.2691461741924286,0.26914387941360474,2.294778823852539e-06,-0.46321582794189453,-0.44900262355804443,-0.014213204383850098,0.01421403387977073
33,0.5790836215019226,0.5787381529808044,0.00034546852111816406,0.26915082335472107,0.26915016770362854,6.556510925292969e-07,-0.45971018075942993,-0.4595550000667572,-0.0001551806926727295,0.00037872150234745665
34,0.5787385106086731,0.578517496585846,0.00022101402282714844,0.26914849877357483,0.26914530992507935,3.1888484954833984e-06,-0.47102856636047363,-0.469034343957901,-0.001994222402572632,0.002006434738027511
35,0.5785159468650818,0.5783120393753052,0.00020390748977661133,0.2691487967967987,0.2691483199596405,4.76837158203125e-07,-0.47654005885124207,-0.47458645701408386,-0.001953601837158203,0.0019642145071016508
36,0.5783146023750305,0.578109622001648,0.00020498037338256836,0.2691502273082733,0.2691526710987091,-2.4437904357910156e-06,-0.4784638583660126,-0.4761841595172882,-0.0022796988487243652,0.0022888970633165107
37,0.5781058669090271,0.577857494354248,0.00024837255477905273,0.26915252208709717,0.2691492736339569,3.248453140258789e-06,-0.4734794795513153,-0.4586297273635864,-0.014849752187728882,0.014851829500616212
38,0.5778615474700928,0.5777701735496521,9.137392044067383e-05,0.26915132999420166,0.26914432644844055,7.0035457611083984e-06,-0.4604280889034271,-0.44815853238105774,-0.012269556522369385,0.012269898756656758
39,0.5777804255485535,0.5777042508125305,7.617473602294922e-05,0.2691585123538971,0.26915442943573,4.082918167114258e-06,-0.45114290714263916,-0.44397273659706116,-0.007170170545578003,0.00717057633062387
40,0.5777100920677185,0.5776187777519226,9.131431579589844e-05,0.2691570818424225,0.2691548764705658,2.205371856689453e-06,-0.44733700156211853,-0.4449352025985718,-0.002401798963546753,0.002403535194089855
41,0.5776807069778442,0.5776388049125671,4.190206527709961e-05,0.26914626359939575,0.2691264748573303,1.9788742065429688e-05,-0.44414982199668884,-0.43807196617126465,-0.006077855825424194,0.0060780324786915895
42,0.5776900053024292,0.5776461958885193,4.380941390991211e-05,0.2691257894039154,0.2690950930118561,3.069639205932617e-05,-0.44056665897369385,-0.4395767152309418,-0.0009899437427520752,0.000991387990166603
43,0.5778160691261292,0.5777792930603027,3.6776065826416016e-05,0.26910361647605896,0.2691006064414978,3.0100345611572266e-06,-0.4727727770805359,-0.4590848982334137,-0.013687878847122192,0.013687928582251622
44,0.5778990983963013,0.5778995156288147,-4.172325134277344e-07,0.2691076397895813,0.2690948247909546,1.2814998626708984e-05,-0.4838356375694275,-0.4523467421531677,-0.031488895416259766,0.031488898026676294
45,0.5779553651809692,0.5779497623443604,5.602836608886719e-06,0.26911935210227966,0.26911765336990356,1.6987323760986328e-06,-0.4700305461883545,-0.4511573016643524,-0.018873244524002075,0.018873245432098954
46,0.5781853795051575,0.5781866312026978,-1.2516975402832031e-06,0.2691153585910797,0.2691124379634857,2.9206275939941406e-06,-0.46445977687835693,-0.45462825894355774,-0.009831517934799194,0.009831518448291214
47,0.5784484148025513,0.5784490704536438,-6.556510925292969e-07,0.2690845727920532,0.269082248210907,2.3245811462402344e-06,-0.45804157853126526,-0.4524666368961334,-0.005574941635131836,0.005574942158326155
48,0.5788482427597046,0.5789426565170288,-9.441375732421875e-05,0.2690631151199341,0.2690616250038147,1.4901161193847656e-06,-0.4491950571537018,-0.45001664757728577,0.0008215904235839844,0.0008269987921049441
49,0.5792310237884521,0.5792964696884155,-6.54458999633789e-05,0.269042432308197,0.26904118061065674,1.2516975402832031e-06,-0.443360835313797,-0.44400304555892944,0.0006422102451324463,0.0006455375523715299
50,0.5794757008552551,0.5795298218727112,-5.412101745605469e-05,0.26903560757637024,0.2690364420413971,-8.344650268554688e-07,-0.4312989413738251,-0.4351233243942261,0.003824383020401001,0.0038247660408963374
51,0.5796938538551331,0.5797185897827148,-2.473592758178711e-05,0.2690340280532837,0.26905664801597595,-2.2619962692260742e-05,-0.4348214566707611,-0.43801289796829224,0.003191441297531128,0.003191617314844106
52,0.5798396468162537,0.5798952579498291,-5.561113357543945e-05,0.2690807580947876,0.26912054419517517,-3.978610038757324e-05,-0.43878868222236633,-0.44101497530937195,0.0022262930870056152,0.002227342910557462
53,0.5799383521080017,0.5799612998962402,-2.294778823852539e-05,0.26911523938179016,0.26911482214927673,4.172325134277344e-07,-0.4462359845638275,-0.4592461884021759,0.013010203838348389,0.013010224083021904
54,0.5800092220306396,0.5800181031227112,-8.881092071533203e-06,0.2691115736961365,0.26912060379981995,-9.03010368347168e-06,-0.4531717896461487,-0.4563124179840088,0.0031406283378601074,0.0031406538766853725
55,0.5801616311073303,0.5802127718925476,-5.1140785217285156e-05,0.26908525824546814,0.26906952261924744,1.5735626220703125e-05,-0.45388323068618774,-0.4582020044326782,0.0043187737464904785,0.004319105192423612
56,0.5803799033164978,0.5804970264434814,-0.00011712312698364258,0.26903828978538513,0.2690018117427826,3.647804260253906e-05,-0.4466550946235657,-0.446738064289093,8.296966552734375e-05,0.00014809604945527214
57,0.5805695056915283,0.5806413292884827,-7.18235969543457e-05,0.26899898052215576,0.26899009943008423,8.881092071533203e-06,-0.4454108476638794,-0.4471820294857025,0.0017711818218231201,0.001772659738594102
58,0.5807717442512512,0.5808352828025818,-6.35385513305664e-05,0.26898321509361267,0.2689775824546814,5.632638931274414e-06,-0.4429667890071869,-0.44437330961227417,0.0014065206050872803,0.0014079662945758347
59,0.5808537602424622,0.5808688402175903,-1.5079975128173828e-05,0.26898548007011414,0.26898640394210815,-9.238719940185547e-07,-0.44453391432762146,-0.44623011350631714,0.0016961991786956787,0.0016962664628522321
60,0.5809061527252197,0.580926239490509,-2.008676528930664e-05,0.26898983120918274,0.268989235162735,5.960464477539062e-07,-0.4447610378265381,-0.45518314838409424,0.010422110557556152,0.01042212993141683
61,0.580938994884491,0.5809495449066162,-1.055002212524414e-05,0.2690039873123169,0.2690204679965973,-1.6480684280395508e-05,-0.45482170581817627,-0.4625311493873596,0.00770944356918335,0.007709468403355947
62,0.5809580683708191,0.5809701085090637,-1.2040138244628906e-05,0.2690361440181732,0.2690527141094208,-1.6570091247558594e-05,-0.4582967162132263,-0.46429044008255005,0.0059937238693237305,0.005993758866900964
63,0.5810414552688599,0.5810490250587463,-7.569789886474609e-06,0.26905280351638794,0.2690601646900177,-7.361173629760742e-06,-0.45480799674987793,-0.4565254747867584,0.0017174780368804932,0.0017175104936398512
64,0.5812137126922607,0.5812699794769287,-5.626678466796875e-05,0.2690618336200714,0.26906248927116394,-6.556510925292969e-07,-0.4555351734161377,-0.4559318423271179,0.0003966689109802246,0.00040064024494983533
65,0.5814290642738342,0.5814401507377625,-1.1086463928222656e-05,0.26906949281692505,0.2690920829772949,-2.2590160369873047e-05,-0.45641815662384033,-0.4675794243812561,0.011161267757415771,0.011161296124454222
66,0.5814470648765564,0.5814549922943115,-7.927417755126953e-06,0.26910507678985596,0.2691290080547333,-2.3931264877319336e-05,-0.4659906029701233,-0.47691211104393005,0.010921508073806763,0.010921537169996593
67,0.5814633965492249,0.5814275145530701,3.5881996154785156e-05,0.26916763186454773,0.26923829317092896,-7.066130638122559e-05,-0.4731927216053009,-0.4733330011367798,0.00014027953147888184,0.00016111761176075087
68,0.5814322233200073,0.5813795328140259,5.269050598144531e-05,0.2692735493183136,0.26933518052101135,-6.16312026977539e-05,-0.471856951713562,-0.46827054023742676,-0.003586411476135254,0.003587327970888807
69,0.5813677310943604,0.5812994837760925,6.824731826782227e-05,0.26938000321388245,0.2694215774536133,-4.157423973083496e-05,-0.4594496190547943,-0.45618197321891785,-0.003267645835876465,0.0032686228633142652
70,0.5812896490097046,0.5812643766403198,2.5272369384765625e-05,0.26943424344062805,0.269442617893219,-8.374452590942383e-06,-0.45127296447753906,-0.45091909170150757,-0.00035387277603149414,0.00035487288671685527
71,0.5812720656394958,0.5812726020812988,-5.364418029785156e-07,0.26946136355400085,0.26946398615837097,-2.6226043701171875e-06,-0.4515439569950104,-0.4626545011997223,0.011110544204711914,0.01111054452719042
72,0.5812916159629822,0.5813088417053223,-1.722574234008789e-05,0.2694758474826813,0.2694658637046814,9.98377799987793e-06,-0.4472115933895111,-0.45657122135162354,0.009359627962112427,0.009359649138251878
