Axis,Mean_Error,Std_Error
X,0.0016622520410097563,0.001816726332335532
Y,0.0028253598855091976,0.0009017031717666016
Z,-1.5718029134658398e-08,7.008793871525132e-08
Euclidean,0.0035290453065717577,0.0015508522613015508
